Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-treatment_redundant_rate	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
D200HSC_S9	11473292	11473292	154.0	0.0	0.078174							
D200HSC_S9_R1_001						0.28	16.316792664783762	51.0	38.0	9.090909090909092	7572243.0	
D200HSC_S9_R2_001							15.68269028440406	51.0	38.0	9.090909090909092	7572243.0	
D200HSC_S9_bulkATAC.err												96.46
D200HSC_S9_trim1							15.35242012161865	51.0	37.950082725759884	9.090909090909092	7281287.0	
D200HSC_S9_trim2							14.727841784429785	51.0	37.92823329172439	9.090909090909092	7281287.0	
D202HSC_S33	9201316	9201316	172.0	0.0	0.145954							
D202HSC_S33_R1_001						0.29	24.069302788520247	53.0	38.0	9.090909090909092	6634082.0	
D202HSC_S33_R2_001							23.31813804220981	53.0	38.0	9.090909090909092	6634082.0	
D202HSC_S33_bulkATAC.err												95.82
D202HSC_S33_trim1							23.053887080840298	53.0	37.959626170738446	9.090909090909092	6393721.0	
D202HSC_S33_trim2							22.140653479025943	53.0	37.93609511581754	9.090909090909092	6393721.0	
D2206-1_S11	9255614	8287070	183.0	0.0	0.051859							
D2206-1_S11_R1_001						0.35	14.807944493504351	55.0	38.0	9.090909090909092	4844412.0	
D2206-1_S11_R2_001							13.930005783191973	55.0	38.0	9.090909090909092	4844412.0	
D2206-1_S11_bulkATAC.err												89.54
D2206-1_S11_trim1							13.896144310307207	55.0	37.951397065607964	9.090909090909092	4627807.0	
D2206-1_S11_trim2							13.16424744052344	55.0	37.930005291923365	9.090909090909092	4627807.0	
HSC_ATAC_D210_S11	10099786	9894110	211.0	0.0	0.07809							
HSC_ATAC_D210_S11_R1_001						0.44	18.769587685990146	54.0	38.0	9.090909090909092	5335848.0	
HSC_ATAC_D210_S11_R2_001							17.721663504812327	54.0	38.0	9.090909090909092	5335848.0	
HSC_ATAC_D210_S11_bulkATAC.err												97.96
HSC_ATAC_D210_S11_trim1							17.69976036516796	54.0	37.939618918658276	9.090909090909092	5049893.0	
HSC_ATAC_D210_S11_trim2							16.868354346392707	54.0	37.906149892680894	9.090909090909092	5049893.0	
HSC_ATAC_D211_S49	15842326	14402800	191.0	0.0	0.131217							
HSC_ATAC_D211_S49_R1_001						0.29	27.562020445403007	55.0	38.0	9.090909090909092	8229456.0	
HSC_ATAC_D211_S49_R2_001							26.149581176210162	55.0	38.0	9.090909090909092	8229456.0	
HSC_ATAC_D211_S49_bulkATAC.err												90.91
HSC_ATAC_D211_S49_trim1							26.521238505458626	55.0	37.944620379608395	9.090909090909092	7921163.0	
HSC_ATAC_D211_S49_trim2							25.388985768929217	55.0	37.93203131913836	9.090909090909092	7921163.0	
HSC_ATAC_D212_S37	19430462	18721226	213.0	0.0	0.123901							
HSC_ATAC_D212_S37_R1_001						0.32	27.248246948721842	55.0	38.0	9.090909090909092	10132622.0	
HSC_ATAC_D212_S37_R2_001							25.872267876515693	54.0	38.0	9.090909090909092	10132622.0	
HSC_ATAC_D212_S37_bulkATAC.err												96.35
HSC_ATAC_D212_S37_trim1							26.275697065634787	54.0	37.95320646518853	9.090909090909092	9715231.0	
HSC_ATAC_D212_S37_trim2							25.149214086371813	54.0	37.93121409053475	9.090909090909092	9715231.0	
HSC_ATAC_D213_S25	18215108	17023148	201.0	0.0	0.102545							
HSC_ATAC_D213_S25_R1_001						0.33	25.489594939038383	55.0	38.0	9.090909090909092	9553278.0	
HSC_ATAC_D213_S25_R2_001							24.047116438121392	55.0	38.0	9.090909090909092	9553278.0	
HSC_ATAC_D213_S25_bulkATAC.err												93.46
HSC_ATAC_D213_S25_trim1							24.48162589529055	55.0	37.953106838565	9.090909090909092	9107554.0	
HSC_ATAC_D213_S25_trim2							23.088765720280975	55.0	37.926504086607665	9.090909090909092	9107554.0	
HSC_ATAC_D214_S13	20797756	20268774	183.0	0.0	0.196291							
HSC_ATAC_D214_S13_R1_001						0.27	34.48782792484974	53.0	38.0	9.090909090909092	10811935.0	
HSC_ATAC_D214_S13_R2_001							33.11500843640455	53.0	38.0	9.090909090909092	10811935.0	
HSC_ATAC_D214_S13_bulkATAC.err												97.46
HSC_ATAC_D214_S13_trim1							33.335574956572316	53.0	37.946722425246264	9.090909090909092	10398878.0	
HSC_ATAC_D214_S13_trim2							32.34093843174023	53.0	37.93259234313548	9.090909090909092	10398878.0	
HSC_ATAC_D215_S1	9345914	9345914	200.0	0.0	0.124366							
HSC_ATAC_D215_S1_R1_001						0.32	26.845754917659974	54.0	38.0	9.090909090909092	6724740.0	
HSC_ATAC_D215_S1_R2_001							25.74466629676931	54.0	38.0	9.090909090909092	6724740.0	
HSC_ATAC_D215_S1_bulkATAC.err												96.22
HSC_ATAC_D215_S1_trim1							26.072881162977424	54.0	37.954235151723715	9.090909090909092	6462602.0	
HSC_ATAC_D215_S1_trim2							25.141740024650986	54.0	37.937466054694376	9.090909090909092	6462602.0	
