Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-treatment_redundant_rate	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
D200proB_S11	14865172	14480702	166.0	0.0	0.08762							
D200proB_S11_R1_001						0.31	20.18048949597916	54.0	38.0	9.090909090909092	7738390.0	
D200proB_S11_R2_001							19.29796543097899	54.0	38.0	9.090909090909092	7738390.0	
D200proB_S11_bulkATAC.err												97.41
D200proB_S11_trim1							19.01330438999348	54.0	37.951184823155764	9.090909090909092	7432586.0	
D200proB_S11_trim2							18.253154582494247	54.0	37.93524958877031	9.090909090909092	7432586.0	
D201proB_S23	16855904	16855904	170.0	0.0	0.094967							
D201proB_S23_R1_001						0.26	19.628547593251454	51.0	38.0	9.090909090909092	11145416.0	
D201proB_S23_R2_001							18.696322250464064	51.0	38.0	9.090909090909092	11145416.0	
D201proB_S23_bulkATAC.err												97.74
D201proB_S23_trim1							18.64313140767797	51.0	37.95816911912849	9.090909090909092	10750694.0	
D201proB_S23_trim2							17.713737650244965	51.0	37.937968376739214	9.090909090909092	10750694.0	
D202proB_S35	22057472	21459602	169.0	0.0	0.156807							
D202proB_S35_R1_001						0.27	28.82318574957398	54.0	38.0	9.090909090909092	11448555.0	
D202proB_S35_R2_001							27.5841906455814	54.0	38.0	9.090909090909092	11448555.0	
D202proB_S35_bulkATAC.err												97.29
D202proB_S35_trim1							27.383598742323827	54.0	37.95534492801351	9.090909090909092	11028736.0	
D202proB_S35_trim2							26.35759596582649	54.0	37.93816390201017	9.090909090909092	11028736.0	
D2206-3_S13	14331362	13117478	197.0	0.0	0.05071							
D2206-3_S13_R1_001						0.27	17.106858618161652	55.0	38.0	9.090909090909092	7437121.0	
D2206-3_S13_R2_001							16.275421689650244	55.0	38.0	9.090909090909092	7437121.0	
D2206-3_S13_bulkATAC.err												91.53
D2206-3_S13_trim1							15.899824696717175	55.0	37.94485520636489	9.090909090909092	7165681.0	
D2206-3_S13_trim2							15.36365825514919	54.0	37.931931940592946	9.090909090909092	7165681.0	
proB_ATAC_D210_S21	11903432	11693486	215.0	0.0	0.05129							
proB_ATAC_D210_S21_R1_001						0.47	14.253193698841486	54.0	38.0	9.090909090909092	6293029.0	
proB_ATAC_D210_S21_R2_001							13.105033808913376	54.0	38.0	9.090909090909092	6293029.0	
proB_ATAC_D210_S21_bulkATAC.err												98.24
proB_ATAC_D210_S21_trim1							13.166222223135478	54.0	37.93793504259948	9.090909090909092	5951716.0	
proB_ATAC_D210_S21_trim2							12.114829663498398	53.0	37.90188241508835	9.090909090909092	5951716.0	
proB_ATAC_D211_S51	20731858	19435600	216.0	0.0	0.093707							
