Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
D200proB_S11	14865172	0	0	0	0	0	1268804	0	14480702	0	97.41	nan	14865172	0	7432586	0	7432586	0	14480702	0	97.41	nan	14480702	0	0	0	0.0	nan	0	0	0	0	14865172
D201proB_S23	16855904	0	0	0	0	0	0	0	16855904	0	100.0	nan	16855904	0	8427948	0	8427956	0	16855904	0	100.0	nan	16855904	0	0	0	0.0	nan	0	0	0	0	16855904
D202proB_S35	22057472	0	0	0	0	0	3365008	0	21459602	0	97.29	nan	22057472	0	11028736	0	11028736	0	21459602	0	97.29	nan	21459602	0	0	0	0.0	nan	0	0	0	0	22057472
D2206-3_S13	14331362	0	0	0	0	0	665190	0	13117478	0	91.53	nan	14331362	0	7165681	0	7165681	0	13117478	0	91.53	nan	13117478	0	0	0	0.0	nan	0	0	0	0	14331362
proB_ATAC_D210_S21	11903432	0	0	0	0	0	599760	0	11693486	0	98.24	nan	11903432	0	5951716	0	5951716	0	11693486	0	98.24	nan	11693486	0	0	0	0.0	nan	0	0	0	0	11903432
proB_ATAC_D211_S51	20731858	0	0	0	0	0	1821252	0	19435600	0	93.75	nan	20731858	0	10365929	0	10365929	0	19435600	0	93.75	nan	19435600	0	0	0	0.0	nan	0	0	0	0	20731858
proB_ATAC_D212_S39	17460766	0	0	0	0	0	1168700	0	16591142	0	95.02	nan	17460766	0	8730383	0	8730383	0	16591142	0	95.02	nan	16591142	0	0	0	0.0	nan	0	0	0	0	17460766
proB_ATAC_D213_S27	12326836	0	0	0	0	0	717484	0	11355640	0	92.12	nan	12326836	0	6163418	0	6163418	0	11355640	0	92.12	nan	11355640	0	0	0	0.0	nan	0	0	0	0	12326836
proB_ATAC_D214_S15	10431846	0	0	0	0	0	783310	0	10092298	0	96.75	nan	10431846	0	5215923	0	5215923	0	10092298	0	96.75	nan	10092298	0	0	0	0.0	nan	0	0	0	0	10431846
proB_ATAC_D215_S3	14165682	0	0	0	0	0	903874	0	13697112	0	96.69	nan	14165682	0	7082841	0	7082841	0	13697112	0	96.69	nan	13697112	0	0	0	0.0	nan	0	0	0	0	14165682
