Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	overall_alignment_rate
D200preB_S12_bulkATAC.err	5389789	5389789	248196	4330509	811084	95.4
D201preB_S24_bulkATAC.err	7548412	7548412	332142	5989757	1226513	95.6
D202preB_S36_bulkATAC.err	11875230	11875230	284140	9943719	1647371	97.61
D2206-4_S14_bulkATAC.err	6573893	6573893	1461510	4273612	838771	77.77
preB_ATAC_D210_S20_bulkATAC.err	12028739	12028739	342851	10027039	1658849	97.15
preB_ATAC_D211_S52_bulkATAC.err	7805305	7805305	498104	6238473	1068728	93.62
preB_ATAC_D212_S40_bulkATAC.err	8617644	8617644	529895	6985746	1102003	93.85
preB_ATAC_D213_S28_bulkATAC.err	3999381	3999381	230948	3241794	526639	94.23
preB_ATAC_D214_S16_bulkATAC.err	4645994	4645994	220475	3617762	807757	95.25
preB_ATAC_D215_S4_bulkATAC.err	4306826	4306826	150774	3494535	661517	96.5
