Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
D200preB_S12_R1_001	D200preB_S12_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5618565.0	0.0	38.0	55.0	81.88722843777263	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
D200preB_S12_R2_001	D200preB_S12_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5618565.0	0.0	38.0	55.0	82.50315615781754	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
D200preB_S12_trim1	D200preB_S12_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5389789.0	0.0	36-38	55.0	83.04833797529182	37.94425217758988	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D200preB_S12_trim2	D200preB_S12_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5389789.0	0.0	36-38	55.0	83.52838429236125	37.92295857964013	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D201preB_S24_R1_001	D201preB_S24_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7864183.0	0.0	38.0	53.0	80.27376330803405	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
D201preB_S24_R2_001	D201preB_S24_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7864183.0	0.0	38.0	53.0	81.05801396779026	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
D201preB_S24_trim1	D201preB_S24_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7548412.0	0.0	36-38	53.0	81.34534034221306	37.95810522796053	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D201preB_S24_trim2	D201preB_S24_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7548412.0	0.0	36-38	53.0	82.14959107746994	37.93379879105698	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D202preB_S36_R1_001	D202preB_S36_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12358858.0	0.0	38.0	55.0	69.46964919129634	38.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
D202preB_S36_R2_001	D202preB_S36_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12358858.0	0.0	38.0	55.0	70.80547894106577	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
D202preB_S36_trim1	D202preB_S36_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11875230.0	0.0	36-38	55.0	71.07518789581032	37.94912031177501	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D202preB_S36_trim2	D202preB_S36_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11875230.0	0.0	36-38	55.0	72.07436754710756	37.933270345079634	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D2206-4_S14_R1_001	D2206-4_S14_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6827497.0	0.0	38.0	56.0	82.60209986350122	38.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
D2206-4_S14_R2_001	D2206-4_S14_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6827497.0	0.0	38.0	56.0	83.3394011959165	38.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
D2206-4_S14_trim1	D2206-4_S14_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6573893.0	0.0	36-38	55.0	83.73573028308729	37.952999082887416	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
