Sample	fragment_size	treatment_fragments_total	treatment_fragments_after_filtering	treatment_max_duplicates	treatment_redundant_rate	d
D200preB_S12	164.0	4219840.0	4219840.0	1.0	0.0	164.0
D201preB_S24	160.0	5731652.0	5731652.0	1.0	0.0	160.0
D202preB_S36	154.0	8874785.0	8874785.0	1.0	0.0	154.0
D2206-4_S14	194.0	4200340.0	4200340.0	1.0	0.0	194.0
preB_ATAC_D210_S20	226.0	8163468.0	8163468.0	1.0	0.0	226.0
preB_ATAC_D211_S52	190.0	6106135.0	6106135.0	1.0	0.0	190.0
preB_ATAC_D212_S40	208.0	6668219.0	6668219.0	1.0	0.0	208.0
preB_ATAC_D213_S28	200.0	3247151.0	3247151.0	1.0	0.0	200.0
preB_ATAC_D214_S16	203.0	3474013.0	3474013.0	1.0	0.0	203.0
preB_ATAC_D215_S4	199.0	3467162.0	3467162.0	1.0	0.0	199.0
