Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
D200preB_S12	Unknown Library	0.0	5141593.0	0.0	496392.0	0.0	397047.0	576.0	0.077223	31594984.0
D201preB_S24	Unknown Library	0.0	7216270.0	0.0	664284.0	0.0	771169.0	1582.0	0.106865	31367687.0
D202preB_S36	Unknown Library	0.0	11591090.0	0.0	568280.0	0.0	1715707.0	1476.0	0.148019	35210885.0
D2206-4_S14	Unknown Library	0.0	5112383.0	0.0	2923020.0	0.0	391925.0	1039.0	0.076662	31692312.0
preB_ATAC_D210_S20	Unknown Library	0.0	11685888.0	0.0	685702.0	0.0	2545253.0	4714.0	0.217806	22800432.0
preB_ATAC_D211_S52	Unknown Library	0.0	7307201.0	0.0	996208.0	0.0	493912.0	1801.0	0.067593	51760920.0
preB_ATAC_D212_S40	Unknown Library	0.0	8087749.0	0.0	1059790.0	0.0	684045.0	3596.0	0.084578	45288038.0
preB_ATAC_D213_S28	Unknown Library	0.0	3768433.0	0.0	461896.0	0.0	158797.0	872.0	0.042139	43675857.0
preB_ATAC_D214_S16	Unknown Library	0.0	4425519.0	0.0	440950.0	0.0	417031.0	1391.0	0.094233	22046471.0
preB_ATAC_D215_S4	Unknown Library	0.0	4156052.0	0.0	301548.0	0.0	217671.0	1126.0	0.052374	38463670.0
