Sample	input_read_pairs	surviving	surviving_pct	forward_only_surviving	forward_only_surviving_pct	reverse_only_surviving	reverse_only_surviving_pct	dropped	dropped_pct
D200preB_S12_R1_001	5618565.0	5389789.0	95.93	157470.0	2.8	53860.0	0.96	17446.0	0.31
D201preB_S24_R1_001	7864183.0	7548412.0	95.98	233886.0	2.97	58674.0	0.75	23211.0	0.3
D202preB_S36_R1_001	12358858.0	11875230.0	96.09	336722.0	2.72	112425.0	0.91	34481.0	0.28
D2206-4_S14_R1_001	6827497.0	6573893.0	96.29	175687.0	2.57	56499.0	0.83	21418.0	0.31
preB_ATAC_D210_S20_R1_001	12752781.0	12028739.0	94.32	522359.0	4.1	140187.0	1.1	61496.0	0.48
preB_ATAC_D211_S52_R1_001	8157230.0	7805305.0	95.69	237102.0	2.91	90827.0	1.11	23996.0	0.29
preB_ATAC_D212_S40_R1_001	9009548.0	8617644.0	95.65	272972.0	3.03	86411.0	0.96	32521.0	0.36
preB_ATAC_D213_S28_R1_001	4204047.0	3999381.0	95.13	143982.0	3.42	47285.0	1.12	13399.0	0.32
preB_ATAC_D214_S16_R1_001	4843566.0	4645994.0	95.92	131857.0	2.72	50875.0	1.05	14840.0	0.31
preB_ATAC_D215_S4_R1_001	4526299.0	4306826.0	95.15	155503.0	3.44	44374.0	0.98	19596.0	0.43
