Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR8247848_1	SRR8247848_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67425311.0	0.0	35-40	53.0	25.184621519082828	39.41244021848116	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR8247848_2	SRR8247848_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67425311.0	0.0	35-40	54.0	29.613393890582106	39.41726865746307	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR8247848_trim1	SRR8247848_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61782819.0	0.0	36-40	53.0	27.316604064415138	39.38113576526833	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR8247848_trim2	SRR8247848_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61782819.0	0.0	36-40	53.0	30.80015498918773	39.341244626600805	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR8247849_1	SRR8247849_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49669683.0	0.0	35-40	54.0	21.784999042798454	39.41549347113812	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR8247849_2	SRR8247849_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49669683.0	0.0	35-40	54.0	26.434916701161587	39.4199980901831	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR8247849_trim1	SRR8247849_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45525969.0	0.0	36-40	53.0	23.722092511956067	39.38317576502325	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR8247849_trim2	SRR8247849_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45525969.0	0.0	36-40	53.0	27.12526443286178	39.34449876289289	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR8247850_1	SRR8247850_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48260370.0	0.0	35-40	51.0	27.684923071247365	39.39551659052759	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
SRR8247850_2	SRR8247850_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48260370.0	0.0	35-40	51.0	30.761606906963777	39.3998840663675	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
